epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.637,4.12164,5.89897,3.96878,0.00027,0.01193,0.00015,4e-05,4.20762,4.82398,3.60465,0.0670932,0.000332392,0.000332392
2,478.469,3.94632,5.0381,3.54783,0.29086,0.01129,0.00109,0.00023,3.96441,4.22291,3.3253,0.034091,0.000663508,0.000663508
3,714.656,3.46771,4.25605,3.2407,0.53774,0.07472,0.02498,0.00686,3.13607,3.76232,2.76166,0.00108657,0.000992405,0.000992405
4,950.432,2.99713,3.64248,2.81314,0.52946,0.09817,0.0596,0.01892,2.83998,3.10235,2.46217,0.00099001,0.00099001,0.00099001
